Id,Symbol,ScientificName,ScientificNameComponents,CommonName,Group,RankId,Rank,Durations,GrowthHabits,NativeStatuses,MapCoordinates,PlantsDistributionResults,AcceptedId,OtherCommonNames,HasSynonyms,Ancestors,HasSubordinateTaxa,SubordinateTaxa,HasWildlife,Wildlife,HasWetlandData,WetlandData,HasImages,HasRelatedLinks,RelatedLinks,HasLegalStatuses,LegalStatuses,HasNoxiousStatuses,NoxiousStatuses,HasDocumentation,HasDistributionData,Documentation,PlantNotes,NumImages,ProfileImageFilename,ImageId,HasInvasiveStatuses,InvasiveStatuses,ProtectedStatuses,PlantGuideUrls,FactSheetUrls,HasCharacteristics,PlantLocationId,Characteristics,HasEthnobotany,Ethnobotanies,HasPollinator,Pollinators,ScientificSort,characteristics/0/Active Growth Period,characteristics/0/Bloat,characteristics/0/C:N Ratio,characteristics/0/Coppice Potential,characteristics/0/Fall Conspicuous,characteristics/0/Fire Resistant,characteristics/0/Flower Color,characteristics/0/Flower Conspicuous,characteristics/0/Foliage Color,characteristics/0/Foliage Porosity Summer,characteristics/0/Foliage Porosity Winter,characteristics/0/Foliage Texture,characteristics/0/Fruit/Seed Color,characteristics/0/Fruit/Seed Conspicuous,characteristics/0/Growth Form,characteristics/0/Growth Rate,"characteristics/0/Height at 20 Years, Maximum (feet)","characteristics/0/Height, Mature (feet)",characteristics/0/Known Allelopath,characteristics/0/Leaf Retention,characteristics/0/Lifespan,characteristics/0/Low Growing Grass,characteristics/0/Nitrogen Fixation,characteristics/0/Resprout Ability,characteristics/0/Shape and Orientation,characteristics/0/Toxicity,characteristics/0/Adapted to Coarse Textured Soils,characteristics/0/Adapted to Fine Textured Soils,characteristics/0/Adapted to Medium Textured Soils,characteristics/0/Anaerobic Tolerance,characteristics/0/CaCO3 Tolerance,characteristics/0/Cold Stratification Required,characteristics/0/Drought Tolerance,characteristics/0/Fertility Requirement,characteristics/0/Fire Tolerance,"characteristics/0/Frost Free Days, Minimum",characteristics/0/Hedge Tolerance,characteristics/0/Moisture Use,"characteristics/0/pH, Maximum","characteristics/0/pH, Minimum","characteristics/0/Planting Density per Acre, Maximum","characteristics/0/Planting Density per Acre, Minimum","characteristics/0/Precipitation, Maximum","characteristics/0/Precipitation, Minimum","characteristics/0/Root Depth, Minimum (inches)",characteristics/0/Salinity Tolerance,characteristics/0/Shade Tolerance,"characteristics/0/Temperature, Minimum (°F)",characteristics/0/Bloom Period,characteristics/0/Commercial Availability,characteristics/0/Fruit/Seed Abundance,characteristics/0/Fruit/Seed Period Begin,characteristics/0/Fruit/Seed Period End,characteristics/0/Fruit/Seed Persistence,characteristics/0/Propagated by Bare Root,characteristics/0/Propagated by Bulb,characteristics/0/Propagated by Container,characteristics/0/Propagated by Corm,characteristics/0/Propagated by Cuttings,characteristics/0/Propagated by Seed,characteristics/0/Propagated by Sod,characteristics/0/Propagated by Sprigs,characteristics/0/Propagated by Tubers,characteristics/0/Seed per Pound,characteristics/0/Seed Spread Rate,characteristics/0/Seedling Vigor,characteristics/0/Small Grain,characteristics/0/Vegetative Spread Rate,characteristics/0/Berry/Nut/Seed Product,characteristics/0/Christmas Tree Product,characteristics/0/Fodder Product,characteristics/0/Fuelwood Product,characteristics/0/Lumber Product,characteristics/0/Naval Store Product,characteristics/0/Nursery Stock Product,characteristics/0/Palatable Browse Animal,characteristics/0/Palatable Human,characteristics/0/Post Product,characteristics/0/Pulpwood Product,characteristics/0/Veneer Product,characteristics/0/Protein Potential,characteristics/0/Palatable Graze Animal,Synonyms/0/Id,Synonyms/0/Symbol,Synonyms/0/ScientificName,Synonyms/0/ScientificNameComponents,Synonyms/0/CommonName,Synonyms/0/Group,Synonyms/0/RankId,Synonyms/0/Rank,Synonyms/0/Durations,Synonyms/0/GrowthHabits,Synonyms/0/NativeStatuses,Synonyms/0/MapCoordinates,Synonyms/0/PlantsDistributionResults,Synonyms/0/AcceptedId,Synonyms/0/OtherCommonNames,Synonyms/0/HasSynonyms,Synonyms/0/Synonyms/0,Synonyms/0/Ancestors,Synonyms/0/HasSubordinateTaxa,Synonyms/0/SubordinateTaxa,Synonyms/0/HasWildlife,Synonyms/0/Wildlife,Synonyms/0/HasWetlandData,Synonyms/0/WetlandData,Synonyms/0/HasImages,Synonyms/0/HasRelatedLinks,Synonyms/0/RelatedLinks,Synonyms/0/HasLegalStatuses,Synonyms/0/LegalStatuses,Synonyms/0/HasNoxiousStatuses,Synonyms/0/NoxiousStatuses,Synonyms/0/HasDocumentation,Synonyms/0/HasDistributionData,Synonyms/0/Documentation,Synonyms/0/PlantNotes,Synonyms/0/NumImages,Synonyms/0/ProfileImageFilename,Synonyms/0/ImageId,Synonyms/0/HasInvasiveStatuses,Synonyms/0/InvasiveStatuses,Synonyms/0/ProtectedStatuses,Synonyms/0/PlantGuideUrls,Synonyms/0/FactSheetUrls,Synonyms/0/HasCharacteristics,Synonyms/0/PlantLocationId,Synonyms/0/Characteristics,Synonyms/0/HasEthnobotany,Synonyms/0/Ethnobotanies,Synonyms/0/HasPollinator,Synonyms/0/Pollinators,Synonyms/0/ScientificSort,characteristics/0/After Harvest Regrowth Rate
42690,ABGR4,&lt;i&gt;Abelia ×grandiflora&lt;/i&gt; (Rovelli ex André) Rehder [&lt;i&gt;chinensis × uniflora&lt;/i&gt;],,glossy abelia,,0,,,,,,,42690,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,1,abgr4_001_tvp.jpg,0,false,,,,,false,0,,false,,false,,Abelia grandiflora (Rovelli ex André) Rehder [chinensis  uniflora],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15308,ABAM,&lt;i&gt;Abies amabilis&lt;/i&gt; (Douglas ex Loudon) Douglas ex Forbes,,Pacific silver fir,,0,,,,,,,15308,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,16,abam_001_thp.jpg,0,false,,,,,false,0,,false,,false,,Abies amabilis (Douglas ex Loudon) Douglas ex Forbes,Spring and Summer,None,High,No,Yes,No,Yellow,No,Gray-Green,Dense,Dense,Medium,Brown,No,Single Stem,Slow,20,165.0,No,Yes,Long,No,None,No,Erect,None,Yes,Yes,Yes,None,Low,Yes,Low,Low,None,90,None,Medium,6.0,3.3,700,300,260,38,36,None,Tolerant,-28,Late Spring,Routinely Available,Low,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,11280,Slow,Low,No,None,No,Yes,No,Low,Yes,No,No,Low,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15309,ABBA,&lt;i&gt;Abies balsamea&lt;/i&gt; (L.) Mill.,,balsam fir,,0,,,,,,,15309,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,15,abba_002_thp.jpg,0,false,,,,,false,0,,false,,false,,Abies balsamea (L.) Mill.,Spring and Summer,None,High,No,No,No,Yellow,No,Green,Dense,Dense,Medium,Brown,No,Single Stem,Slow,18,60.0,No,Yes,Short,No,None,No,Conical,None,Yes,Yes,Yes,None,Low,Yes,Low,Medium,Low,80,Low,Medium,6.0,4.0,1200,300,60,13,20,None,Tolerant,-43,Mid Summer,Routinely Available,Medium,Fall,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,59840,Slow,Low,No,None,No,Yes,No,Low,Yes,Yes,Yes,Medium,No,No,Yes,Yes,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15316,ABCO,&lt;i&gt;Abies concolor&lt;/i&gt; (Gord. &amp; Glend.) Lindl. ex Hildebr.,,white fir,,0,,,,,,,15316,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,28,abco_001_thp.jpg,0,false,,,,,false,0,,false,,false,,Abies concolor (Gord. &amp; Glend.) Lindl. ex Hildebr.,Spring and Summer,None,High,No,No,No,Red,No,Green,Dense,Dense,Medium,Brown,No,Single Stem,Slow,20,120.0,No,Yes,Long,No,None,No,Conical,None,Yes,No,Yes,None,Low,Yes,Medium,Medium,Medium,80,Low,Medium,7.8,5.5,1200,300,80,18,40,None,Intermediate,-38,Late Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,15920,Moderate,Medium,No,None,No,Yes,No,Low,Yes,No,Yes,Low,No,No,Yes,Yes,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15319,ABFR,&lt;i&gt;Abies fraseri&lt;/i&gt; (Pursh) Poir.,,Fraser fir,,0,,,,,,,15319,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,6,abfr_002_thp.jpg,0,false,,,,,false,0,,false,,false,,Abies fraseri (Pursh) Poir.,Spring and Summer,None,High,No,No,No,Purple,No,Dark Green,Moderate,Moderate,Medium,Brown,Yes,Single Stem,Moderate,20,55.0,No,Yes,Moderate,No,None,Yes,Erect,None,Yes,No,Yes,Low,Low,No,Low,Low,Low,90,Low,Medium,5.5,3.5,1200,435,100,45,6,Low,Tolerant,-23,Mid Spring,Routinely Available,Medium,Spring,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,60800,Slow,Medium,No,None,No,Yes,No,Low,No,No,Yes,Low,No,No,Yes,Yes,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15321,ABGR,&lt;i&gt;Abies grandis&lt;/i&gt; (Douglas ex D. Don) Lindl.,,grand fir,,0,,,,,,,15321,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,12,abgr_001_thp.jpg,0,false,,,,,false,0,,false,,false,,Abies grandis (Douglas ex D. Don) Lindl.,Spring and Summer,None,High,No,No,Yes,,No,Green,Dense,Dense,Medium,Brown,No,Single Stem,Moderate,25,150.0,No,Yes,Long,No,None,No,Conical,None,Yes,No,Yes,Low,Low,Yes,Medium,Medium,High,60,Low,Medium,7.5,4.5,1200,300,100,11,20,None,Tolerant,-33,Late Spring,Field Collections Only,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,23200,Slow,Low,No,None,No,Yes,No,Low,Yes,No,Yes,Low,No,No,Yes,Yes,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15328,ABLA,&lt;i&gt;Abies lasiocarpa&lt;/i&gt; (Hook.) Nutt.,,subalpine fir,,0,,,,,,,15328,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,18,abla_001_thp.jpg,0,false,,,,,false,0,,false,,false,,Abies lasiocarpa (Hook.) Nutt.,Spring and Summer,None,High,No,No,No,,No,Green,Dense,Dense,Medium,Brown,No,Single Stem,Slow,15,90.0,No,Yes,Long,No,None,No,Conical,None,Yes,No,Yes,None,Low,Yes,Low,Medium,Low,120,Low,Medium,6.5,4.0,1200,300,150,20,40,None,Tolerant,-51,Late Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,37440,Slow,Low,No,None,No,Yes,No,Low,Yes,No,Yes,Low,No,No,Yes,No,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15340,ABMA,&lt;i&gt;Abies magnifica&lt;/i&gt; A. Murray bis,,California red fir,,0,,,,,,,15340,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,18,abma_002_tvp.jpg,0,false,,,,,false,0,,false,,false,,Abies magnifica A. Murray bis,Spring and Summer,None,High,No,No,Yes,Brown,No,Dark Green,Moderate,Moderate,Medium,Brown,Yes,Single Stem,Slow,35,150.0,No,Yes,Long,No,None,No,Erect,None,Yes,No,Yes,None,Low,Yes,Low,Low,Low,90,Low,Medium,6.1,5.0,1200,430,64,33,20,Low,Tolerant,-23,Late Spring,Contracting Only,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,5680,Slow,Medium,No,None,No,Yes,No,Low,Yes,No,Yes,Low,No,No,Yes,Yes,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15342,ABMAS,&lt;i&gt;Abies magnifica&lt;/i&gt; A. Murray bis var. &lt;i&gt;shastensis&lt;/i&gt; Lemmon,,Shasta red fir,,0,,,,,,,15342,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,0,,0,false,,,,,false,0,,false,,false,,Abies magnifica A. Murray bis var. shastensis Lemmon,Spring and Summer,None,High,No,No,Yes,Brown,No,Dark Green,Moderate,Moderate,Medium,Brown,Yes,Single Stem,Slow,25,180.0,No,Yes,Long,No,None,No,Erect,None,Yes,No,Yes,None,Low,Yes,Low,Low,Low,90,Low,Medium,7.5,6.0,1200,430,60,30,20,Low,Intermediate,-23,Mid Spring,Contracting Only,High,Spring,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,5680,Slow,Medium,No,None,No,Yes,No,Low,Yes,No,Yes,Low,No,No,Yes,Yes,,Low,15345,ABSH,&lt;i&gt;Abies ×shastensis&lt;/i&gt; (Lemmon) Lemmon,,,,0,,,,,,,15342,,false,,,false,,false,,false,,false,false,,false,,false,,false,false,,,0,,0,false,,,,,false,0,,false,,false,,,
15346,ABPR,&lt;i&gt;Abies procera&lt;/i&gt; Rehder,,noble fir,,0,,,,,,,15346,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,20,abpr_001_thp.jpg,0,false,,,,,false,0,,false,,false,,Abies procera Rehder,Spring and Summer,None,High,No,No,No,,No,Dark Green,Dense,Dense,Medium,Purple,Yes,Single Stem,Rapid,25,230.0,No,Yes,Long,No,None,No,Erect,None,Yes,No,Yes,None,Low,Yes,Low,Low,Low,50,Low,Low,7.5,6.0,1200,430,120,64,20,None,Intermediate,-23,Late Spring,Contracting Only,Low,Spring,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,14640,Slow,Low,No,None,No,Yes,No,Medium,Yes,No,Yes,Low,No,No,Yes,Yes,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
